2024-11-16 12:34:15 [ERROR]: Ошибка синхронизации базы данных:
2024-11-16 15:26:27 [ERROR]: Ошибка синхронизации базы данных: Access denied for user 'db_user'@'localhost' (using password: YES)
2024-11-26 10:22:43 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-26 10:23:00 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-26 11:21:48 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-26 16:51:02 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-26 17:39:39 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-26 23:42:16 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-27 03:46:10 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-27 10:28:28 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-27 10:28:40 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-27 10:55:24 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-27 10:55:34 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-27 10:55:34 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-27 15:42:55 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-28 00:23:32 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-28 07:24:55 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-28 07:25:08 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-28 10:02:03 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
